Chavchavadze, TSU 1'st block, 1
Chavchavadze, Mziuri, 2
Chavchavadze, Kavsadze Cross 3
Chavchavadze, Wendy's, 4
Mishveladze, Wissol, 5
Mishveladze, Vake Park, 6
Abashidze, Dariali Cross, 7
Abashidze, Berdzenishvili Cross, 8
Abashidze, Kavadze Cross, 9
Abashidze, Taktakishvili Cross, 10
Abashidze, Gegeshidze Park, 11
Abashidze, Bazaleti Cross, 12
Abashidze, Round Garden, 13
Abashidze, Napareuli Cross, 14
Paliashvili, Round Garden, 15
Paliashvili, Bazaleti Cross, 16
Paliashvili, Gegeshidze Park, 17
Paliashvili, Aarakishvili Cross, 18
Paliashvili, Taktakishvili Cross, 19
Paliashvili, Kavsadze Cross, 20
Paliashvili, Berdzenishvili Cross, 21